Participant,Try 1 total,Try 4 total,Age,Place of birth,Place raised,Raised in multiple places?,Familiarity with accents,Number of native languages,Native languages,Number of other languages,Other languages; proficiency (1-5),Age started learning L2+,Trained voice actor?,Highest education,Mimicry style
1,57.00,58.00,56,"Stamford, UK",Mixed; UK and Germany,1,a,1,English,1,"French, 4",11,0,Undergraduate,e
2,30.00,24.00,72,"London, UK",Mixed; Southern UK,1,a,1,English,4,"German, 3; French, 2; Norwegian, 1; Polish, 1",11,0,PhD,a
3,60.00,56.00,20,"Barnet, UK","Barnet, UK",0,a,1,English,2,"Gemran, 1; Spanish, 1",,0,Undergraduate,b
4,56.00,62.00,22,Gibraltar,Gibraltar,0,b,1,English,1,"Spanish, unknown",4,0,Master's,e
5,46.00,52.00,40,"Wellington, NZ","Levin, New Zealand",0,b,1,English,0,"Japanese, 1",13,0,PhD,b
6,58.00,63.00,,"Wisconsin, USA","Wisconsin, USA",0,c,1,English,2,"Spanish, 3; German, 1",10,0,Some graduate school,c
7,54.00,62.00,29,"London, UK","Manchester, UK",0,a,1,English,4,"French, 1; German, 2; Japanese, 1; Russian, 1",13,0,Undergraduate,e
9,66.00,61.00,20,"Milton Keynes, UK",Mixed; Southern UK,1,b,2,English; Russian,6,"French, 3; Spanish, 2; Arabic, 2; Afrikaans, 2; Xhosa, 1; Quenya, 2",0,0,Undergraduate,e
11,58.00,56.00,31,"Boston, USA",Mixed; Northeast USA,1,c,1,English,2,"Spanish, 3; French, 1",,0,Undergraduate,c
13,65.00,0.00,26,"Haywards Heath, UK","Haywards Heath, UK",0,b,1,English,3,"French, 2; Spanish, 1; Latin, 1",,0,Undergraduate,e
15,65.00,65.00,28,"Warwickshire, UK","Warwickshire, UK",0,a,1,English,2,"French, 5; German, 2",3,0,Master's,a
17,62.00,0.00,28,"Chelmsford, UK","Chelmsford, UK",0,b,1,English,3,"German, 3; French, 1; Spanish, 1",,0,Undergraduate,c
18,75.00,74.00,49,"Yeovil, UK","Yeovil, UK",0,a,1,English,4,"French, 5; German, 5; Hungarian, 2; Italian, 1",11,0,Master's,b
19,64.00,58.00,26,"North York, Canada","Richmond Hill, Canada",0,c,2,English; Cantonese,2,"French, 4; Mandarin, 3",0,0,Master's,c
21,69.00,70.00,18,"Cambridge, UK","Cambridge, UK",0,b,1,English,0,,,0,Undergraduate,e
25,73.00,70.00,44,"Torquay, UK","Guildford, UK and Tunbridge Wells, UK",1,b,1,English,0,NA,NA,1,Master's,b
26,52.00,56.00,31,"Front Royal, Virginia, USA","Phoenix, Arizona, USA; Wilmington, North Carolina, USA",1,c,1,English,3,"Spanish, 1; Portuguese, 1; Gaelic, 1",,0,PhD,c
28,57.00,49.00,23,"Richmond, Canada","Victoria, Canada",0,d,2,English; Russian,2,"French, 4; Hindi, 3",0,0,Master's,c
29,71.00,68.00,18,"Zurich, Switzerland","Feusisberg, Switzerland",0,b,3,English; French; German,3,"Spanish, 4; Italian, 3; Swiss German, 3",6,0,Undergraduate,c
31,49.00,54.00,31,"Grand Falls, Canada","Abbotsford, Canada",0,b,1,English,1,"French, 4",5,0,Master's,b
32,59.00,62.00,21,"London, UK","Truro, UK",0,c,1,English,3,"German, 2; French, 2; Japanese, 3",0,0,Undergraduate,c
33,63.00,0.00,36,"London, UK","Gosford, Australia",0,b,1,English,3,"Spanish, 1; Japanese, 1; Gaelic, 1",7,0,Undergraduate,b
34,58.00,52.00,22,"St. Louis, USA","St. Louis, USA",0,c,1,English,1,"Spanish, 2",19,0,Master's,e
