Age,Gender,Birthplace,Raised,Accent,Familiarity.British,Familiarity.American,Native.Language,L21,L22,L23,L24,L25,L2.Age,Actor,Actor.time,Education,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Sum
32,Male,"Leeds, UK","Leeds, UK","Neutral, Yorkshire twang",Extensive,Moderate,English,"French, 1",NA,NA,NA,NA,10,No,NA,Bachelor's degree,1,1,1,0,1,0,NA,1,1,NA,1,0,7
35,Male,"Middlesbrough, United Kingdom","Middlesbrough, United Kingdom",Teesside/North-east English,Extensive,Limited,English,"Spanish, 5","German, 3","French, 1",NA,NA,11,No,NA,Master's degree,0,NA,1,1,1,NA,0,1,1,1,1,0,7
57,Female,"Dublin, Ireland","Dublin, Ireland",Irish,Moderate,Limited,English,"German, 5","French, 3","Russian, 3","Danish, 3","Irish, 2",4,No,NA,Doctoral degree,1,NA,1,0,1,0,0,1,1,1,1,NA,7
62,Female,"Colchester, UK","Manningtree, UK",English,Extensive,Limited,English,Russian 4,French 2,NA,NA,NA,12,No,NA,Doctoral degree,1,1,0,0,0,0,0,NA,1,1,0,NA,4
51,m,"Houston, Texas, USA",Houston (0-10) and Chicago (10-21),Chicago but (i) with a few residual Houston features and (ii) without most of the Northern Cities vowel Shift,Moderate,Extensive,English,"Armenian, 3","French, 2","Spanish, 2","German, 2",NA,9,No,NA,Doctoral degree,1,1,0,1,1,0,NA,1,1,0,NA,1,7
24,Male,"Hong Kong, Hong Kong","Hong Kong, London",London,Moderate,Limited,English,"French, 2",NA,NA,NA,NA,12,No,NA,Master's degree,1,1,NA,0,1,0,0,0,0,0,NA,1,4
27,Female,"Kaunas, Lithuania","Kaunas, Lithuania",NA,Limited,Limited,Lithuanian,"Italian, 4","French, 4","Russian, 3","Portuguese, 2","Spanish, 1",6,No,NA,Master's degree,1,0,1,NA,1,1,1,1,1,1,1,NA,9
50,female,"Yeovil, England","Yeovil, England",standard southern English,Moderate,Moderate,English,"French, 5","German, 5","Italian, 2","Spanish, 1","Hungarian, 1",11,No,NA,Master's degree,0,1,0,0,1,1,1,1,NA,1,NA,1,7
25,Male,"Colchester, UK",Ipswich,RP,Extensive,Limited,English,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,1,0,1,0,0,1,NA,1,0,NA,1,6
33,Male,"London, UK","London, UK",English,Moderate,Negligible,English,"Chinese, 2",NA,NA,NA,NA,11,No,NA,Bachelor's degree,NA,1,1,0,0,0,0,1,1,1,0,NA,5
49,M,"Leicester, UK","Cambridge, UK",East Midlands,Moderate,Limited,English,"Hebrew, 5","French, 3","German, 3","Arabic, 1","Russian, 1",11,No,NA,Doctoral degree,1,1,NA,1,NA,0,0,1,1,0,0,1,6
32,Female,"North Shields, UK","North Shields, UK",Geordie,Extensive,Limited,English,"Japanese, 2",NA,NA,NA,NA,17,No,NA,Bachelor's degree,1,1,0,NA,1,1,1,1,NA,1,1,1,9
23,Female,"Karachi, Pakistan","Karachi, Pakistan",Pakistani,Moderate,Limited,English,"Urdu, 5",NA,NA,NA,NA,NA,No,NA,Master's degree,0,0,NA,1,1,NA,1,0,1,0,1,0,5
31,Female,"Thessaloniki, Greece","Thessaloniki, Greece",Standard southern British,Moderate,Limited,"English, Greek, German","English, 5","Greek, 5","German, 5","Turkish, 1",NA,6,No,NA,Doctoral degree,1,0,1,1,1,0,0,1,1,NA,NA,0,6
